id,user_id,session_date,device,traffic_source,duration
1,677,2026-04-07 16:06:35.604591,Tablet,YouTube,1675
2,739,2025-07-02 04:27:47.858934,Mobile,YouTube,2195
3,429,2025-05-07 15:21:19.400241,Desktop,Telegram,1118
4,256,2024-11-30 00:51:04.545776,Desktop,Email,331
5,815,2025-07-03 22:43:57.382552,Desktop,Direct,1607
6,619,2024-10-15 07:34:28.231060,Mobile,Google,1348
7,250,2025-09-12 17:57:47.906861,Tablet,Telegram,1049
8,833,2025-04-25 12:20:50.855143,Desktop,Google,2086
9,483,2025-04-03 02:10:29.357693,Desktop,Email,1440
10,771,2025-11-23 19:04:39.152882,Desktop,VK,2271
11,839,2026-05-24 21:30:14.081344,Desktop,Direct,287
12,773,2024-09-29 17:20:36.272977,Mobile,Direct,1555
13,931,2025-06-24 06:26:36.369000,Tablet,Direct,730
14,884,2025-03-02 23:22:19.737634,Desktop,Telegram,55
15,724,2025-04-20 22:57:04.283788,Tablet,Telegram,87
16,911,2026-02-22 10:29:39.205721,Tablet,YouTube,1226
17,588,2025-05-14 05:23:54.276063,Desktop,VK,1015
18,272,2025-02-16 13:01:41.821737,Desktop,YouTube,593
19,902,2025-12-21 05:21:39.433571,Desktop,Direct,1332
20,663,2025-03-11 08:45:30.104463,Desktop,VK,2066
21,283,2025-10-29 10:03:53.652912,Mobile,Google,594
22,584,2026-06-02 04:36:17.813141,Desktop,Direct,883
23,140,2025-08-13 00:56:25.523987,Desktop,YouTube,1752
24,878,2025-05-03 07:20:06.745495,Desktop,Direct,758
25,815,2025-08-20 07:13:09.413114,Desktop,VK,443
26,949,2025-08-07 19:46:07.006987,Mobile,Telegram,2070
27,772,2025-11-19 07:23:38.223447,Desktop,YouTube,1076
28,962,2025-06-23 19:05:41.907081,Desktop,Email,2116
29,381,2026-06-05 15:28:59.636100,Mobile,Email,278
30,143,2025-02-01 11:35:11.707496,Tablet,VK,2096
31,435,2025-01-11 20:34:10.444471,Mobile,Email,986
32,876,2026-01-27 10:42:35.853743,Desktop,VK,143
33,331,2024-09-19 05:53:59.982154,Tablet,Direct,54
34,629,2024-09-10 16:19:56.216593,Mobile,YouTube,138
35,805,2025-08-17 03:49:16.541238,Tablet,Telegram,1558
36,205,2024-10-11 19:29:11.495226,Mobile,Google,2059
37,486,2026-03-01 04:47:32.618150,Desktop,Email,467
38,561,2024-07-28 22:59:54.614843,Tablet,Telegram,986
39,882,2024-12-30 17:05:48.019663,Mobile,YouTube,1501
40,246,2026-06-16 15:33:35.391586,Desktop,Telegram,1075
